model,accuracy,balanced_accuracy,precision,recall,f1_score,roc_auc,true_negative,false_positive,false_negative,true_positive,recommended
Logistic Regression,0.767771344092645,0.5649630674311278,0.015574650912996778,0.35802469135802467,0.029850746268656716,0.5882924985712442,6203,1833,52,29,False
Decision Tree,0.771590489096957,0.6402193216943508,0.022102425876010783,0.5061728395061729,0.042355371900826444,0.6523921673457097,6222,1814,40,41,True
